nama pengguna,produk,review,rating,waktu transaksi
sultanyaa,iPhone XR 128 GB Second ORIGINAL,hp nyaa ori dan muluss. packing nyaa kayu poll lah..,5,2022-04-12 06:19
d*****a,iPhone 5s Second Original,Alhamdulillah paketnya sudah sampe walaupun agak lama pengiriman dari ekspedisinya. Tapi overall hp nya bagus Gk ada lecetnya. Semoga awet yaa hp nya gak ada Kendala apapun. Laris terus buat Ifonespot 👍🏻,5,2022-04-12 05:46
fajarwahyu_n,iPhone XS 64GB SECOND ORIGINAL,,5,2022-04-12 05:20
zakkiiiah,FAST CHARGING SET ORIGINAL,"Berfungsi baik, semoga awet",5,2022-04-12 04:54
savitrinurseha,FAST CHARGING SET ORIGINAL,,5,2022-04-12 04:23
intanmuslim46,iPhone  5s  SECOND ORIGINAL,,5,2022-04-12 02:34
s*****a,iPhone XR 64GB Second ORIGINAL,"Barangnya bagusssss original, tingkat kemulusan ya 95% tapi bagusss banget. dapet BH juga diatas 90%, sellernya sabar banget. worth it lah, thankyouuuu",5,2022-04-10 18:26
c*****a,iPhone XR 128 GB Second ORIGINAL,"barang bagus, request bh diatas 90% dikasih 100% sama adminnya, body juga mulus. admin ramah dan fast respon, senang dengan pelayanannya. makasih ifonespot👍🏻👍🏻",5,2022-04-10 15:45
h*****a,iPhone  5s  SECOND ORIGINAL,,5,2022-04-09 02:31
g*****e,iPhone XR 64GB Second ORIGINAL,Produk oke dan bagus. Thanks seller 👌🏻 laen kali bakal beli yang laen kalo punya rejeki hehehehehe thanks ya thanks banget lhoooooooo,5,2022-04-08 21:25
z*****a,iPhone XR 64GB Second ORIGINAL,BAGUUSSSS BANGETTTTTTTTTTTT POKONYAAAA PUUASSSSS ❤️❤️❤️❤️❤️❤️,5,2022-04-08 03:16
azizah.icha06,iPhone 11 64GB SECOND ORIGINAL,"Barang bagus, pelayanan pengiriman cepet banget 😊 semoga awet 😍",5,2022-04-08 01:55
julianaputri_14,FAST CHARGING SET ORIGINAL,,5,2022-04-07 22:55
achlis1209,FAST CHARGING SET ORIGINAL,,5,2022-04-07 21:25
achlis1209,iPhone 11 128GB  SECOND ORIGINAL,"Semuanya mantab sih, joss",5,2022-04-07 21:25
akitarheanita,iPhone  5s  SECOND ORIGINAL,,5,2022-04-07 06:11
